[train: 1, 937 / 937] FPS: 62.1 (62.6)  ,  DataTime: 0.018 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.516  ,  Loss/total: 0.85155  ,  Loss/giou: 0.20496  ,  Loss/l1: 0.01920  ,  Loss/location: 0.34561  ,  IoU: 0.81082
[train: 2, 50 / 937] FPS: 57.7 (62.6)  ,  DataTime: 0.057 (0.011)  ,  ForwardTime: 0.486  ,  TotalTime: 0.554  ,  Loss/total: 0.79789  ,  Loss/giou: 0.19574  ,  Loss/l1: 0.01827  ,  Loss/location: 0.31505  ,  IoU: 0.81885
[train: 2, 50 / 937] FPS: 57.7 (62.3)  ,  DataTime: 0.057 (0.011)  ,  ForwardTime: 0.486  ,  TotalTime: 0.554  ,  Loss/total: 0.75366  ,  Loss/giou: 0.17995  ,  Loss/l1: 0.01542  ,  Loss/location: 0.31667  ,  IoU: 0.83002
[train: 2, 100 / 937] FPS: 60.0 (62.0)  ,  DataTime: 0.036 (0.011)  ,  ForwardTime: 0.486  ,  TotalTime: 0.533  ,  Loss/total: 0.78763  ,  Loss/giou: 0.19266  ,  Loss/l1: 0.01748  ,  Loss/location: 0.31490  ,  IoU: 0.82109
[train: 2, 100 / 937] FPS: 60.0 (62.2)  ,  DataTime: 0.036 (0.011)  ,  ForwardTime: 0.486  ,  TotalTime: 0.533  ,  Loss/total: 0.75923  ,  Loss/giou: 0.18217  ,  Loss/l1: 0.01571  ,  Loss/location: 0.31632  ,  IoU: 0.82892
[train: 2, 150 / 937] FPS: 60.8 (62.6)  ,  DataTime: 0.029 (0.011)  ,  ForwardTime: 0.486  ,  TotalTime: 0.527  ,  Loss/total: 0.76558  ,  Loss/giou: 0.18392  ,  Loss/l1: 0.01613  ,  Loss/location: 0.31707  ,  IoU: 0.82787
[train: 2, 150 / 937] FPS: 60.8 (62.5)  ,  DataTime: 0.029 (0.011)  ,  ForwardTime: 0.486  ,  TotalTime: 0.527  ,  Loss/total: 0.77624  ,  Loss/giou: 0.19020  ,  Loss/l1: 0.01712  ,  Loss/location: 0.31022  ,  IoU: 0.82306
[train: 2, 200 / 937] FPS: 61.1 (62.4)  ,  DataTime: 0.025 (0.011)  ,  ForwardTime: 0.487  ,  TotalTime: 0.523  ,  Loss/total: 0.77398  ,  Loss/giou: 0.18909  ,  Loss/l1: 0.01698  ,  Loss/location: 0.31090  ,  IoU: 0.82407
[train: 2, 200 / 937] FPS: 61.1 (62.2)  ,  DataTime: 0.026 (0.011)  ,  ForwardTime: 0.486  ,  TotalTime: 0.523  ,  Loss/total: 0.77662  ,  Loss/giou: 0.18614  ,  Loss/l1: 0.01653  ,  Loss/location: 0.32167  ,  IoU: 0.82630
[train: 2, 250 / 937] FPS: 61.4 (62.9)  ,  DataTime: 0.024 (0.011)  ,  ForwardTime: 0.486  ,  TotalTime: 0.521  ,  Loss/total: 0.76877  ,  Loss/giou: 0.18397  ,  Loss/l1: 0.01615  ,  Loss/location: 0.32007  ,  IoU: 0.82798
[train: 2, 250 / 937] FPS: 61.4 (62.9)  ,  DataTime: 0.023 (0.011)  ,  ForwardTime: 0.486  ,  TotalTime: 0.521  ,  Loss/total: 0.77881  ,  Loss/giou: 0.18988  ,  Loss/l1: 0.01705  ,  Loss/location: 0.31381  ,  IoU: 0.82322
[train: 2, 300 / 937] FPS: 61.6 (63.2)  ,  DataTime: 0.022 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.519  ,  Loss/total: 0.77466  ,  Loss/giou: 0.18548  ,  Loss/l1: 0.01640  ,  Loss/location: 0.32168  ,  IoU: 0.82687
[train: 2, 300 / 937] FPS: 61.6 (62.6)  ,  DataTime: 0.022 (0.012)  ,  ForwardTime: 0.486  ,  TotalTime: 0.519  ,  Loss/total: 0.77831  ,  Loss/giou: 0.18980  ,  Loss/l1: 0.01701  ,  Loss/location: 0.31367  ,  IoU: 0.82323
